,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
0,all_mini,1,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,0,0,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0
1,q_bv2,1,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,0,0,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0
2,mpnet,1,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,0,0,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0
3,labase,1,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0
4,all_mini,1,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0
5,q_bv2,1,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0
6,mpnet,1,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0
7,labase,1,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0
8,all_mini,1,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0
9,q_bv2,1,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0
10,mpnet,1,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0
11,labase,1,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0
12,all_mini,1,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0
13,q_bv2,1,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0
14,mpnet,1,1.0,0.0625,0.11764705882352941,1.0,0.0,0.0,0,0,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0
15,labase,1,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0
16,all_mini,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
17,q_bv2,1,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0
18,mpnet,1,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0
19,labase,1,1.0,0.2,0.33333333333333337,1.0,0.0,0.0,0,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0
20,all_mini,1,1.0,0.034482758620689655,0.06666666666666667,1.0,0.0,0.0,0,0,1.0,0.034482758620689655,0.06666666666666667,1.0,1.0,0.034482758620689655,0.06666666666666667,1.0
21,q_bv2,1,1.0,0.034482758620689655,0.06666666666666667,1.0,1.0,0.034482758620689655,0.06666666666666667,1.0,1.0,0.034482758620689655,0.06666666666666667,1.0,1.0,0.034482758620689655,0.06666666666666667,1.0
22,mpnet,1,1.0,0.034482758620689655,0.06666666666666667,1.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.034482758620689655,0.06666666666666667,1.0
