,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
108,all_mini,5,0.4,0.3333333333333333,0.3636363636363636,0.9213963208540731,0.4,0.3333333333333333,0.3636363636363636,1.0,0.4,0.3333333333333333,0.3636363636363636,0.9578347709816888,0.4,0.3333333333333333,0.3636363636363636,0.9578347709816888
109,q_bv2,5,0.2,0.16666666666666666,0.1818181818181818,1.0,0.2,0.16666666666666666,0.1818181818181818,1.0,0.2,0.16666666666666666,0.1818181818181818,1.0,0.2,0.16666666666666666,0.1818181818181818,1.0
110,mpnet,5,0.6,0.5,0.5454545454545454,0.9674679834891694,0.2,0.16666666666666666,0.1818181818181818,0.946493202248989,0.6,0.5,0.5454545454545454,1.0,0.2,0.16666666666666666,0.1818181818181818,1.0
111,labase,5,0.6,0.5,0.5454545454545454,1.0,0.4,0.3333333333333333,0.3636363636363636,1.0,0.6,0.5,0.5454545454545454,1.0,0.6,0.5,0.5454545454545454,1.0
112,all_mini,5,0.4,0.05714285714285714,0.09999999999999999,0.9578347709816888,0.2,0.02857142857142857,0.049999999999999996,1.0,1.0,0.14285714285714285,0.25,1.0,0.8,0.11428571428571428,0.19999999999999998,0.9719643720954755
113,q_bv2,5,0.4,0.05714285714285714,0.09999999999999999,1.0,0.6,0.08571428571428572,0.15,1.0,0.4,0.05714285714285714,0.09999999999999999,1.0,0.6,0.08571428571428572,0.15,1.0
114,mpnet,5,0.2,0.02857142857142857,0.049999999999999996,1.0,0.2,0.02857142857142857,0.049999999999999996,0.9327783893101107,0.2,0.02857142857142857,0.049999999999999996,1.0,0.4,0.05714285714285714,0.09999999999999999,0.9128781396400242
115,labase,5,0.4,0.05714285714285714,0.09999999999999999,0.8772153153380493,0.4,0.05714285714285714,0.09999999999999999,0.8772153153380493,0.2,0.02857142857142857,0.049999999999999996,1.0,0.6,0.08571428571428572,0.15,0.8529278650606569
116,all_mini,5,0.2,0.030303030303030304,0.052631578947368425,1.0,0.2,0.030303030303030304,0.052631578947368425,1.0,0.2,0.030303030303030304,0.052631578947368425,1.0,0.2,0.030303030303030304,0.052631578947368425,1.0
117,q_bv2,5,0.4,0.06060606060606061,0.10526315789473685,0.9213963208540731,0.4,0.06060606060606061,0.10526315789473685,0.9312254242647038,0.4,0.06060606060606061,0.10526315789473685,0.9355095261428396,0.2,0.030303030303030304,0.052631578947368425,1.0
118,mpnet,5,0.2,0.030303030303030304,0.052631578947368425,1.0,0.2,0.030303030303030304,0.052631578947368425,0.7698986984637216,0.2,0.030303030303030304,0.052631578947368425,1.0,0.2,0.030303030303030304,0.052631578947368425,1.0
119,labase,5,0.2,0.030303030303030304,0.052631578947368425,1.0,0.2,0.030303030303030304,0.052631578947368425,1.0,0.2,0.030303030303030304,0.052631578947368425,1.0,0.2,0.030303030303030304,0.052631578947368425,1.0
120,all_mini,5,1.0,0.35714285714285715,0.5263157894736842,1.0,0.6,0.21428571428571427,0.3157894736842105,0.9469024295259745,0.8,0.2857142857142857,0.4210526315789473,1.0,1.0,0.35714285714285715,0.5263157894736842,1.0
121,q_bv2,5,1.0,0.35714285714285715,0.5263157894736842,1.0,0.0,0.0,0,0,0.8,0.2857142857142857,0.4210526315789473,1.0,1.0,0.35714285714285715,0.5263157894736842,1.0
122,mpnet,5,0.8,0.2857142857142857,0.4210526315789473,1.0,0.2,0.07142857142857142,0.10526315789473682,0.4306765580733931,0.8,0.2857142857142857,0.4210526315789473,1.0,0.8,0.2857142857142857,0.4210526315789473,1.0
123,labase,5,1.0,0.35714285714285715,0.5263157894736842,1.0,0.2,0.07142857142857142,0.10526315789473682,0.5,1.0,0.35714285714285715,0.5263157894736842,1.0,1.0,0.35714285714285715,0.5263157894736842,1.0
124,all_mini,5,1.0,0.11627906976744186,0.20833333333333334,1.0,0.2,0.023255813953488372,0.041666666666666664,0.531730627995306,1.0,0.11627906976744186,0.20833333333333334,1.0,1.0,0.11627906976744186,0.20833333333333334,1.0
125,q_bv2,5,1.0,0.11627906976744186,0.20833333333333334,1.0,1.0,0.11627906976744186,0.20833333333333334,1.0,1.0,0.11627906976744186,0.20833333333333334,1.0,1.0,0.11627906976744186,0.20833333333333334,1.0
126,mpnet,5,1.0,0.11627906976744186,0.20833333333333334,1.0,0.0,0.0,0,0,1.0,0.11627906976744186,0.20833333333333334,1.0,1.0,0.11627906976744186,0.20833333333333334,1.0
127,labase,5,1.0,0.11627906976744186,0.20833333333333334,1.0,1.0,0.11627906976744186,0.20833333333333334,1.0,1.0,0.11627906976744186,0.20833333333333334,1.0,1.0,0.11627906976744186,0.20833333333333334,1.0
128,all_mini,5,0.6,0.6,0.6,0.9130689212173096,0.2,0.2,0.20000000000000004,1.0,0.6,0.6,0.6,0.9130689212173096,0.2,0.2,0.20000000000000004,1.0
129,q_bv2,5,0.2,0.2,0.20000000000000004,0.9639404333166532,0.2,0.2,0.20000000000000004,1.0,0.2,0.2,0.20000000000000004,0.9639404333166532,0.2,0.2,0.20000000000000004,1.0
130,mpnet,5,0.2,0.2,0.20000000000000004,1.0,0.0,0.0,0,0,0.2,0.2,0.20000000000000004,1.0,0.2,0.2,0.20000000000000004,1.0
131,labase,5,0.2,0.2,0.20000000000000004,1.0,0.2,0.2,0.20000000000000004,1.0,0.2,0.2,0.20000000000000004,1.0,0.2,0.2,0.20000000000000004,1.0
132,all_mini,5,0.6,0.75,0.6666666666666665,0.9807710461847231,0.4,0.5,0.4444444444444445,1.0,0.4,0.5,0.4444444444444445,0.9550337350142764,0.6,0.75,0.6666666666666665,0.9686152031181796
133,q_bv2,5,0.6,0.75,0.6666666666666665,0.9674679834891694,0.4,0.5,0.4444444444444445,0.8503449055347546,0.4,0.5,0.4444444444444445,0.8503449055347546,0.6,0.75,0.6666666666666665,1.0
134,mpnet,5,0.6,0.75,0.6666666666666665,0.9469024295259745,0.2,0.25,0.22222222222222224,1.0,0.2,0.25,0.22222222222222224,1.0,0.4,0.5,0.4444444444444445,0.9197207891481876
